Table,Group,"Total Usage",Controllers,Models,Views,Routes
users,core,0,0,0,0,0
prodi,core,16,6,9,0,1
periode_akademik,core,11,9,1,1,0
dosenn,external_api,13,7,4,2,0
jadwal_dosen,external_api,4,4,0,0,0
kuesioner_uploads,monitoring,0,0,0,0,0
rps_monitoring_snapshots,monitoring,3,3,0,0,0
perkuliahan_monitoring_snapshots,monitoring,3,3,0,0,0
laporan_gjm,reporting,11,11,0,0,0
laporan_bulanan,reporting,10,9,1,0,0
template_laporan,reporting,11,7,4,0,0
laporan_gkm,reporting,7,5,2,0,0
document_chunks,ai_vector,1,1,0,0,0
embeddings_cache,ai_vector,0,0,0,0,0
jadwal_reminder,notifications,1,1,0,0,0
log_email,notifications,4,3,1,0,0
kirim_laporan_history,notifications,1,1,0,0,0
cache,support,7,7,0,0,0
jobs,support,0,0,0,0,0
